timestamp,before_close,after_close,percent_change
2025-04-10 19:12:00,525.0508,524.265,-0.14966170892416406
2025-04-10 19:09:00,526.04,524.995,-0.19865409474563894
2025-04-10 18:58:00,526.23,525.56,-0.1273207532827989
2025-04-10 18:57:00,526.4,525.9,-0.09498480243161095
2025-04-10 18:33:00,526.55,526.54,-0.0018991548760784174
2025-04-10 18:33:00,526.55,526.54,-0.0018991548760784174
2025-04-10 17:57:00,524.43,524.365,-0.012394409168037848
2025-04-10 17:52:00,524.479,524.58,0.019257205722249905
2025-04-10 15:06:00,528.7,525.04,-0.6922640438812335
2025-04-10 15:03:00,528.1781,527.86,-0.060225897287289755
2025-04-10 11:28:00,525.0298,523.67,-0.2589948227700721
2025-04-10 10:52:00,528.5,528.29,-0.03973509933775523
2025-04-10 09:38:00,532.2299,530.1,-0.4001842061109344
2025-04-10 09:35:00,531.77,530.09,-0.31592605825826015
2025-04-10 08:28:00,533.46,536.42,0.554868218798021
